,X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
26661,-93.4947,44.9711,26662,26662,m,1450 E Wayzata Blvd,Wayzata,MN,55391-1919,,44.9711,-93.4947,McDonald's
26683,-92.8115,45.0355,26684,26684,m,14545 60th St N,Stillwater,MN,55082-6314,,45.0355,-92.8115,McDonald's
26733,-93.2999,45.1089,26734,26734,m,"1480 - 85th Avenue, North",Brooklyn Park,MN,55444-1416,,45.1089,-93.2999,McDonald's
26761,-93.7771,45.0357,26762,26762,m,1490 Babcock Blvd,Delano,MN,55328,,45.0357,-93.7771,McDonald's
26814,-94.0145,44.1895,26815,26815,m,150 W Lind Ct,Mankato,MN,56001-0400,,44.1895,-94.0145,McDonald's
26865,-93.1315,44.7312,26866,26866,m,15035 Canada Ave,Rosemount,MN,55068-1758,,44.7312,-93.1315,McDonald's
26876,-92.4855,44.0217,26877,26877,m,1505 2nd St Sw,Rochester,MN,55902-0356,,44.0217,-92.4855,McDonald's
26974,-93.3039,45.2469,26975,26975,m,15232 Bluebird Street Nw,Andover,MN,55304,,45.2469,-93.3039,McDonald's
27009,-93.1061,44.9875,27010,27010,m,1535 Rice Street,St. Paul,MN,55117,,44.9875,-93.1061,McDonald's
27092,-93.1663,44.9555,27093,27093,m,1570 W University Ave,St. Paul,MN,55104,,44.9555,-93.1663,McDonald's
27184,-93.5069,44.0933,27185,27185,m,1600 N State St,Waseca,MN,56093-2713,,44.0933,-93.5069,McDonald's
27306,-91.681,44.05,27307,27307,m,1620 Service Dr,Winona,MN,55987-2177,,44.05,-91.681,McDonald's
27436,-93.4348,44.7054,27437,27437,m,16831 Hwy 13 Se,Prior Lake,MN,55372,,44.7054,-93.4348,McDonald's
27511,-95.6041,43.6313,27512,27512,m,1701 Oxford Street,Worthington,MN,56187-1863,,43.6313,-95.6041,McDonald's
27537,-94.4444,44.296,27538,27538,m,1705 S Broadway,New Ulm,MN,56073-3751,,44.296,-94.4444,McDonald's
27541,-95.7013,44.9494,27542,27542,m,1706 E Highway 7,Montevideo,MN,56265,,44.9494,-95.7013,McDonald's
27604,-91.6379,44.0522,27605,27605,m,172 Main St,Winona,MN,55987,,44.0522,-91.6379,McDonald's
27695,-92.8918,44.7394,27696,27696,m,1752 N Frontage Rd (Walmart 1472),Hastings,MN,55033,,44.7394,-92.8918,McDonald's
27706,-92.9731,44.9237,27707,27707,m,1759 Weir Dr,Woodbury,MN,55125-2242,,44.9237,-92.9731,McDonald's
27770,-93.0244,45.0101,27771,27771,m,1797 Cope Ave,Maplewood,MN,55109-2608,,45.0101,-93.0244,McDonald's
27854,-96.6114,47.7884,27855,27855,m,1811 University Ave,Crookston,MN,56716,,47.7884,-96.6114,McDonald's
27876,-93.5525,45.2877,27877,27877,m,18185 Zane St. (Walmart),Elk River,MN,55330,,45.2877,-93.5525,McDonald's
27940,-93.0229,44.9498,27941,27941,m,1841 Suburban Ave,St. Paul,MN,55119,,44.9498,-93.0229,McDonald's
27976,-95.1139,43.8625,27977,27977,m,186 6th St,Windom,MN,56101-1916,,43.8625,-95.1139,McDonald's
28165,-93.9483,44.1703,28166,28166,m,1921 Adams Street,Mankato,MN,56002,,44.1703,-93.9483,McDonald's
28200,-92.5111,44.0795,28201,28201,m,1937 West Frontage Road,Rochester,MN,55901,,44.0795,-92.5111,McDonald's
28294,-93.208,44.8195,28295,28295,m,1995 Silver Bell Rd,Eagan,MN,55122-1102,,44.8195,-93.208,McDonald's
28316,-95.1363,46.4426,28317,28317,m,20 Ash Ave Nw,Wadena,MN,56482,,46.4426,-95.1363,McDonald's
28493,-93.2543,44.6578,28494,28494,m,20158 Icenic Trail,Lakeville,MN,55044,,44.6578,-93.2543,McDonald's
28506,-93.1253,44.8829,28507,28507,m,2020 Dodd Rd,Mendota Heights,MN,55120,,44.8829,-93.1253,McDonald's
28635,-93.0123,45.0768,28636,28636,m,2070 E Cord E,White Bear Lake,MN,55110,,45.0768,-93.0123,McDonald's
28641,-93.1666,45.003,28642,28642,m,2075 Snelling Ave N,Roseville,MN,55113,,45.003,-93.1666,McDonald's
28656,-96.1092,46.2893,28657,28657,m,2085 College Way,Fergus Falls,MN,56537-1061,,46.2893,-96.1092,McDonald's
28687,-94.2178,45.5498,28688,28688,m,210 2nd St S,Waite Park,MN,56387,,45.5498,-94.2178,McDonald's
28691,-93.2738,44.9485,28692,28692,m,210 E Lake St,Minneapolis,MN,55408-2450,,44.9485,-93.2738,McDonald's
28737,-93.2936,44.6444,28738,28738,m,21044 Kenrick Ave,Lakeville,MN,55044-8585,,44.6444,-93.2936,McDonald's
28739,-92.0546,46.8141,28740,28740,m,2105 London Rd,Duluth,MN,55812-2128,,46.8141,-92.0546,McDonald's
28807,-94.1832,45.553,28808,28808,m,2120 W Division St,St. Cloud,MN,56301,,45.553,-94.1832,McDonald's
28835,-93.551,45.1962,28836,28836,m,21300 Rogers Drive,Rogers,MN,55374-9540,,45.1962,-93.551,McDonald's
28942,-96.7677,46.8724,28943,28943,m,"220 8th Street, South",Moorhead,MN,56560-2811,,46.8724,-96.7677,McDonald's
28979,-93.1931,45.0954,28980,28980,m,2201 Hwy 10,Mounds View,MN,55112-4924,,45.0954,-93.1931,McDonald's
29027,-93.1916,44.9618,29028,29028,m,2213 University Avenue,St. Paul,MN,55114,,44.9618,-93.1916,McDonald's
29166,-93.1058,45.0093,29167,29167,m,2260 Rice St,Little Canada,MN,55113,,45.0093,-93.1058,McDonald's
29176,-93.5087,44.7994,29177,29177,m,227 Marschall Rd,Shakopee,MN,55379-1674,,44.7994,-93.5087,McDonald's
29228,-94.4475,43.673,29229,29229,m,2300 N. State Street,Fairmont,MN,56031-3633,,43.673,-94.4475,McDonald's
29267,-93.4214,44.8563,29268,29268,m,2308 Eden Prairie Ctr,Eden Prairie,MN,55344,,44.8563,-93.4214,McDonald's
29279,-93.3682,45.3881,29280,29280,m,23100 Saint Francis Blvd,St. Francis,MN,55070,,45.3881,-93.3682,McDonald's
29306,-93.1646,44.9044,29307,29307,m,2322 West 7th Street,St. Paul,MN,55116,,44.9044,-93.1646,McDonald's
29385,-94.2117,45.7582,29386,29386,m,2378 Pine Road Nw,Rice,MN,56367,,45.7582,-94.2117,McDonald's
29418,-93.278,44.9591,29419,29419,m,2400 Nicollet Ave S,Minneapolis,MN,55404-3449,,44.9591,-93.278,McDonald's
29462,-93.5846,44.9882,29463,29463,m,2410 W Industrial Blvd,Long Lake,MN,55356,,44.9882,-93.5846,McDonald's
29516,-93.2654,45.0715,29517,29517,m,244 57th Ave Ne,Fridley,MN,55432-5420,,45.0715,-93.2654,McDonald's
29826,-93.6374,44.6706,29827,29827,m,260 Triangle Lane,Jordan,MN,55352,,44.6706,-93.6374,McDonald's
30027,-93.4535,45.01,30028,30028,m,2705 Annapolis Cir,Plymouth,MN,55441,,45.01,-93.4535,McDonald's
30073,-92.9859,44.9631,30074,30074,m,2730 Minnehaha Avenue,Maplewood,MN,55119,,44.9631,-92.9859,McDonald's
30128,-92.5739,44.5664,30129,30129,m,2770 N Service Dr,Red Wing,MN,55066-1985,,44.5664,-92.5739,McDonald's
30200,-93.3588,43.6862,30201,30201,m,2808 Bridge Avenue,Albert Lea,MN,56007-2082,,43.6862,-93.3588,McDonald's
30346,-93.3163,44.7749,30347,30347,m,2901 W Hwy 13,Burnsville,MN,55337-1707,,44.7749,-93.3163,McDonald's
30392,-93.2981,44.949,30393,30393,m,2929 Hennepin Ave S,Minneapolis,MN,55408-1955,,44.949,-93.2981,McDonald's
30407,-93.0259,45.0307,30408,30408,m,2935 Southlawn Dr,Maplewood,MN,55109,,45.0307,-93.0259,McDonald's
30421,-92.5851,44.5662,30422,30422,m,295 Tyler Road S (Walmart #3534),Red Wing,MN,55066,,44.5662,-92.5851,McDonald's
30474,-93.0963,44.9482,30475,30475,m,30 E 7th St,St. Paul,MN,55101,,44.9482,-93.0963,McDonald's
30554,-96.7329,46.8756,30555,30555,m,3009 Hwy 10 E,Moorhead,MN,56560-2549,,46.8756,-96.7329,McDonald's
30622,-93.8718,45.1786,30623,30623,m,303 7th St Ne,Buffalo,MN,55313-1744,,45.1786,-93.8718,McDonald's
30656,-94.4523,45.6066,30657,30657,m,304 Blattner Drive,Avon,MN,56310,,45.6066,-94.4523,McDonald's
30665,-93.1235,44.8469,30666,30666,m,3045 Holiday Ln,Eagan,MN,55122,,44.8469,-93.1235,McDonald's
30710,-93.0439,44.834,30711,30711,m,3075 80th St E,Inver Grove Heights,MN,55075,,44.834,-93.0439,McDonald's
30717,-93.3462,45.1745,30718,30718,m,3080 Coon Rapids Blvd,Coon Rapids,MN,55433-3474,,45.1745,-93.3462,McDonald's
30805,-93.2268,44.9485,30806,30806,m,3110 E Lake St,Minneapolis,MN,55406-2002,,44.9485,-93.2268,McDonald's
30850,-94.6318,43.9809,30851,30851,m,313 1st Ave S,St. James,MN,56081,,43.9809,-94.6318,McDonald's
30915,-92.9066,44.4905,30916,30916,m,31675 65th Ave,Cannon Falls,MN,55009,,44.4905,-92.9066,McDonald's
31026,-93.3205,44.8828,31027,31027,m,3220 Southdale Cir,Edina,MN,55435-2511,,44.8828,-93.3205,McDonald's
31046,-93.3465,45.1983,31047,31047,m,3231 Northdale Blvd,Coon Rapids,MN,55433,,45.1983,-93.3465,McDonald's
31127,-93.7498,45.3325,31128,31128,m,330 Jefferson Blvd,Big Lake,MN,55309,,45.3325,-93.7498,McDonald's
31420,-93.6585,45.2102,31421,31421,m,350 Central Ave E,St. Michael,MN,55376,,45.2102,-93.6585,McDonald's
31899,-93.2414,44.8523,31900,31900,m,391 South Blvd,Bloomington,MN,55425,,44.8523,-93.2414,McDonald's
31957,-93.47,44.7849,31958,31958,m,3990 12th Ave,Shakopee,MN,55379,,44.7849,-93.47,McDonald's
31958,-93.2653,44.7564,31959,31959,m,3990 County Rd #42,Savage,MN,55378,,44.7564,-93.2653,McDonald's
32027,-93.3308,44.8104,32028,32028,m,4000 W Old Shakopee Rd,Bloomington,MN,55437-2947,,44.8104,-93.3308,McDonald's
32057,-93.092,44.9484,32058,32058,m,401 N Robert St Ste 223,St. Paul,MN,55101,,44.9484,-93.092,McDonald's
32163,-93.2344,44.9801,32164,32164,m,407 15th Ave Se,Minneapolis,MN,55414-2009,,44.9801,-93.2344,McDonald's
32206,-93.9199,44.7702,32207,32207,m,410 Faxon Road North,Norwood Young America,MN,55368,,44.7702,-93.9199,McDonald's
32264,-93.2243,44.9283,32265,32265,m,4121 Hiawatha Ave,Minneapolis,MN,55406-3357,,44.9283,-93.2243,McDonald's
32300,-95.838,46.8156,32301,32301,m,415 E Frazee,Detroit Lakes,MN,56501-3605,,46.8156,-95.838,McDonald's
32376,-93.3806,45.033,32377,32377,m,4201 Winnetka Ave,New Hope,MN,55428-4924,,45.033,-93.3806,McDonald's
32465,-92.1663,46.7395,32466,32466,m,428 N Central,West Duluth,MN,55807-2530,,46.7395,-92.1663,McDonald's
32496,-93.206,44.8827,32497,32497,m,4300 Glumac Dr Box 1,St. Paul,MN,55111,,44.8827,-93.206,McDonald's
32503,-92.1851,46.8223,32504,32504,m,4301 Menard Dr,Hermantown,MN,55811,,46.8223,-92.1851,McDonald's
32528,-94.1479,45.4949,32529,32529,m,4311 Clearwater Rd,St. Cloud,MN,56301,,45.4949,-94.1479,McDonald's
32661,-93.2882,45.036,32662,32662,m,4435 Lyndale Ave N,Minneapolis,MN,55412-1436,,45.036,-93.2882,McDonald's
32791,-94.2269,45.5602,32792,32792,m,456 Great Oak Drive,Waite Park,MN,56387,,45.5602,-94.2269,McDonald's
32797,-93.2193,44.7917,32798,32798,m,4565 Erin Lane,Eagan,MN,55121,,44.7917,-93.2193,McDonald's
32824,-93.3385,45.032,32825,32825,m,4601 Lake Dr,Robbinsdale,MN,55422,,45.032,-93.3385,McDonald's
32829,-93.2472,45.052,32830,32830,m,4605 Central Ave Ne,Minneapolis,MN,55421-2435,,45.052,-93.2472,McDonald's
32858,-93.4269,44.9194,32859,32859,m,4637 Shady Oak Road,Minnetonka,MN,55343-8838,,44.9194,-93.4269,McDonald's
32918,-93.1096,44.9554,32919,32919,m,471 Marion Street,St. Paul,MN,55103,,44.9554,-93.1096,McDonald's
33002,-93.0087,45.3366,33003,33003,m,4811 E Viking Blvd,Wyoming,MN,55092,,45.3366,-93.0087,McDonald's
33073,-95.3882,45.8455,33074,33074,m,4910 Hwy 29 S,Alexandria,MN,56308-2905,,45.8455,-95.3882,McDonald's
33099,-93.0775,45.0091,33100,33100,m,4950 Highway #61,White Bear Lake,MN,55110,,45.0091,-93.0775,McDonald's
33159,-93.5929,44.7943,33160,33160,m,500 Highway 212 East,Chaska,MN,55318-2148,,44.7943,-93.5929,McDonald's
33292,-94.182,46.36,33293,33293,m,505 Ne Washington St,Brainerd,MN,56401,,46.36,-94.182,McDonald's
33463,-94.8858,47.4907,33464,33464,m,520 Paul Bunyan Dr,Bemidji,MN,56601,,47.4907,-94.8858,McDonald's
33471,-93.3465,44.9316,33472,33472,m,5200 Excelsior Blvd,St. Louis Park,MN,55416,,44.9316,-93.3465,McDonald's
33485,-94.218,46.3571,33486,33486,m,521 W Washington St,Brainerd,MN,56401-2927,,46.3571,-94.218,McDonald's
33524,-93.2768,44.2946,33525,33525,m,525 N.W. 4th Street,Faribault,MN,55021-5032,,44.2946,-93.2768,McDonald's
33648,-93.3617,45.0514,33649,33649,m,5400 W Broadway,Crystal,MN,55428-3506,,45.0514,-93.3617,McDonald's
33735,-92.5055,44.0799,33736,33736,m,5500 E Frontage Rd,Rochester,MN,55901,,44.0799,-92.5055,McDonald's
33756,-93.1229,44.9307,33757,33757,m,551 Jefferson St,St. Paul,MN,55102,,44.9307,-93.1229,McDonald's
33772,-93.322,45.0551,33773,33773,m,5525 Xerxes Ave N,Brooklyn Center,MN,55430-2856,,45.0551,-93.322,McDonald's
33786,-93.2708,44.9781,33787,33787,m,555 Nicollet Mall Gaviidae Commons,Minneapolis,MN,55402-1066,,44.9781,-93.2708,McDonald's
33809,-93.0934,44.9472,33810,33810,m,56 E 6th St #213,St. Paul,MN,55101,,44.9472,-93.0934,McDonald's
33953,-93.0425,44.8643,33954,33954,m,5760 Cahill Ave,Inver Grove Heights,MN,55075,,44.8643,-93.0425,McDonald's
34008,-92.997,45.5101,34009,34009,m,5835 St. Croix Trail,North Branch,MN,55056,,45.5101,-92.997,McDonald's
34098,-93.4309,44.8521,34099,34099,m,598 Prairie Center Drive,Eden Prairie,MN,55344-7917,,44.8521,-93.4309,McDonald's
34301,-96.3077,43.9949,34302,34302,m,609 8th Ave Se,Pipestone,MN,56164,,43.9949,-96.3077,McDonald's
34303,-93.3622,43.6499,34304,34304,m,609 E Main St,Albert Lea,MN,56007-2936,,43.6499,-93.3622,McDonald's
34315,-93.1106,45.1828,34316,34316,m,610 Apollo Dr,Lino Lakes,MN,55014,,45.1828,-93.1106,McDonald's
34491,-93.4433,45.0671,34492,34492,m,6255 Sycamore Lane North,Maple Grove,MN,55369-6322,,45.0671,-93.4433,McDonald's
34539,-93.3594,44.9426,34540,34540,m,6320 W Lake St,St. Louis Park,MN,55416,,44.9426,-93.3594,McDonald's
34757,-93.2873,44.8816,34758,34758,m,6645 Lyndale Avenue South,Richfield,MN,55423,,44.8816,-93.2873,McDonald's
34893,-93.2601,44.1714,34894,34894,m,6874 W Frontage Rd,Medford,MN,55049,,44.1714,-93.2601,McDonald's
34970,-93.5572,45.3102,34971,34971,m,700 Dodge Avenue,Elk River,MN,55330-1977,,45.3102,-93.5572,McDonald's
34971,-93.2657,44.8598,34972,34972,m,700 E 79th St (Walmart #2198),Bloomington,MN,55420,,44.8598,-93.2657,McDonald's
35019,-93.5832,45.5576,35020,35020,m,701 Northland Drive,Princeton,MN,55371,,45.5576,-93.5832,McDonald's
35118,-92.4575,46.7067,35119,35119,m,709 Hwy 33 S,Cloquet,MN,55720-2659,,46.7067,-92.4575,McDonald's
35135,-92.8927,47.4807,35136,35136,m,710 Iron Miner Memorial Road,Chisholm,MN,55719,,47.4807,-92.8927,McDonald's
35213,-95.0424,45.1172,35214,35214,m,717 S 1st St,Willmar,MN,56201-3503,,45.1172,-95.0424,McDonald's
35251,-93.3801,44.9867,35252,35252,m,720 N Winnetka Ave,Golden Valley,MN,55427-4530,,44.9867,-93.3801,McDonald's
35257,-93.4063,45.2077,35258,35258,m,720 W Main St,Anoka,MN,55303-1581,,45.2077,-93.4063,McDonald's
35328,-93.1951,45.0363,35329,35329,m,729 Long Lake Rd,New Brighton,MN,55112-7770,,45.0363,-93.1951,McDonald's
35333,-94.2529,46.3444,35334,35334,m,7295 Glory Road,Baxter,MN,56425,,46.3444,-94.2529,McDonald's
35378,-92.9605,44.8312,35379,35379,m,7355 Point Douglas Rd,Cottage Grove,MN,55016,,44.8312,-92.9605,McDonald's
35532,-93.3285,44.8665,35533,35533,m,7565 France Avenue,Edina,MN,55435-4704,,44.8665,-93.3285,McDonald's
35580,-93.2203,44.7322,35581,35581,m,7667 150th St W,Apple Valley,MN,55124-7166,,44.7322,-93.2203,McDonald's
35587,-93.377,45.0941,35588,35588,m,7685 West Broadway,Brooklyn Park,MN,55428,,45.0941,-93.377,McDonald's
35595,-93.5584,44.9025,35596,35596,m,770 Excelsior Blvd,Excelsior,MN,55331-1968,,44.9025,-93.5584,McDonald's
35739,-93.3018,44.859,35740,35740,m,7997 Southtown Ctr,Bloomington,MN,55431,,44.859,-93.3018,McDonald's
35856,-93.2785,44.8576,35857,35857,m,8040 Nicollet Ave,Bloomington,MN,55420-1230,,44.8576,-93.2785,McDonald's
35899,-93.2614,44.9538,35900,35900,m,810 E 27th St,Minneapolis,MN,55407-3701,,44.9538,-93.2614,McDonald's
35910,-93.2653,45.1153,35911,35911,m,8100 University Ave Ne,Fridley,MN,55432-1864,,45.1153,-93.2653,McDonald's
35912,-93.4153,44.7779,35913,35913,m,8101 Old Carriage Ct (Walmart #3513),Shakopee,MN,55379,,44.7779,-93.4153,McDonald's
35938,-93.2418,45.1154,35939,35939,m,8124 Hwy 65,Spring Lake Park,MN,55432-2020,,45.1154,-93.2418,McDonald's
36012,-93.5434,45.0465,36013,36013,m,822 Hwy 55,Medina,MN,55340,,45.0465,-93.5434,McDonald's
36120,-94.1413,45.5694,36121,36121,m,840 E Saint Germain,St. Cloud,MN,56304,,45.5694,-94.1413,McDonald's
36122,-93.3181,43.6579,36123,36123,m,840 Happy Trails Ln,Albert Lea,MN,56007,,43.6579,-93.3181,McDonald's
36175,-93.0813,45.0729,36176,36176,m,850 E Cord E (Walmart #2087),Vadnais Heights,MN,55127,,45.0729,-93.0813,McDonald's
36205,-95.3856,45.8853,36206,36206,m,853 Sthy 29 N,Alexandria,MN,56308,,45.8853,-95.3856,McDonald's
36415,-93.5234,44.8608,36416,36416,m,90 Lake Dr E,Chanhassen,MN,55317-9319,,44.8608,-93.5234,McDonald's
36447,-93.3967,45.109,36448,36448,m,9000 85th Ave North,Brooklyn Park,MN,55445-2153,,45.109,-93.3967,McDonald's
36490,-94.5832,48.7116,36491,36491,m,903 Main Street,Baudette,MN,56623,,48.7116,-94.5832,McDonald's
36499,-91.6199,44.0286,36500,36500,m,905 E Hwy 61,Winona,MN,55987,,44.0286,-91.6199,McDonald's
36555,-93.8001,44.8401,36556,36556,m,910 Strong Dr,Waconia,MN,55387,,44.8401,-93.8001,McDonald's
36615,-93.2915,44.9993,36616,36616,m,916 W Broadway,Minneapolis,MN,55411,,44.9993,-93.2915,McDonald's
36659,-93.3963,44.8358,36660,36660,m,9240 Bloomington Ferry Rd,Bloomington,MN,55438-1429,,44.8358,-93.3963,McDonald's
36709,-92.2315,46.6925,36710,36710,m,9310 W Skyline Pky,Proctor,MN,55810,,46.6925,-92.2315,McDonald's
36710,-93.3984,45.0074,36711,36711,m,9315 Medicine Lake Rd,Golden Valley,MN,55427-3112,,45.0074,-93.3984,McDonald's
36822,-93.2871,44.831,36823,36823,m,9516 Garfield Ave S,Bloomington,MN,55420-4213,,44.831,-93.2871,McDonald's
36832,-93.4882,45.1276,36833,36833,m,9530 Blackoaks Lane North,Maple Grove,MN,55311,,45.1276,-93.4882,McDonald's
36836,-92.6352,44.0292,36837,36837,m,955 High Point Drive Ne,Byron,MN,55920,,44.0292,-92.6352,McDonald's
37144,-96.148,48.1071,37145,37145,m,Highway 59 South,Thief River Falls,MN,56701-0403,,48.1071,-96.148,McDonald's
37189,-93.3789,48.584,37190,37190,m,Hwy 55 & 17th St,International Falls,MN,56649,,48.584,-93.3789,McDonald's
37353,-93.1969,44.8867,37354,37354,m,Mls/St Paul Airport Gate 18,St. Paul,MN,55111,,44.8867,-93.1969,McDonald's
37363,-93.8053,46.242,37364,37364,m,N State Hwy 169 S,Garrison,MN,56450,,46.242,-93.8053,McDonald's
37882,-94.1414,45.5693,37883,37883,t,10 - 8th Avenue S E,St. Cloud,MN,56304,(320)253-2901,45.5693,-94.1414,Taco Bell
37947,-94.3756,44.8711,37948,37948,t,1004 Highway 15 South,Hutchinson,MN,55350,(320)587-7477,44.8711,-94.3756,Taco Bell
38056,-92.152,46.8038,38057,38057,t,1031 West Central Entrance,Duluth,MN,55811,(218)726-1077,46.8038,-92.152,Taco Bell
38156,-93.2663,45.1625,38157,38157,t,10729 University Ave Ne,Blaine,MN,55434,(763)757-8976,45.1625,-93.2663,Taco Bell
38192,-93.2707,44.9763,38193,38193,t,109 South 7th Street,Minneapolis,MN,55402,(612)359-9527,44.9763,-93.2707,Taco Bell
38247,-93.1465,44.9926,38248,38248,t,1101 Larpenteur Avenue W.,Roseville,MN,55113,(651)489-6891,44.9926,-93.1465,Taco Bell
38331,-93.5048,44.7817,38332,38332,t,1120 Vierling Drive E,Shakopee,MN,55379,(952)233-1561,44.7817,-93.5048,Taco Bell
38490,-93.3909,45.169,38491,38491,t,11990 Business Park Blvd N.,Champlin,MN,55316,(763)354-1006,45.169,-93.3909,Taco Bell
38581,-93.3634,43.6507,38582,38582,t,122 Bridge Avenue,Albert Lea,MN,56007,(507)377-0800,43.6507,-93.3634,Taco Bell
38619,-92.8699,44.7385,38620,38620,t,1229 N Frontage Rd,Hastings,MN,55033,(651)438-9229,44.7385,-92.8699,Taco Bell
38636,-93.7973,45.3002,38637,38637,t,124 E 7th St,Monticello,MN,55362,(763)295-4300,45.3002,-93.7973,Taco Bell
38685,-93.4406,44.9702,38686,38686,t,12739 Wayzata Blvd/Ridgedale M,Minnetonka,MN,55305,(952)544-0128,44.9702,-93.4406,Taco Bell
38691,-92.9968,45.2794,38692,38692,t,1279 West Broadway,Forest Lake,MN,55025,(651)982-0434,45.2794,-92.9968,Taco Bell
38720,-93.1484,44.8312,38721,38721,t,1295 Towncentre Dr,Eagan,MN,55123,(651)681-9043,44.8312,-93.1484,Taco Bell
38765,-93.358,45.2077,38766,38766,t,13057 Round Lake Blvd,Coon Rapids,MN,55448,(763)323-4731,45.2077,-93.358,Taco Bell
38807,-93.4401,44.9656,38808,38808,t,13201 Ridgedale Drive,Minnetonka,MN,55305,(952)542-8250,44.9656,-93.4401,Taco Bell
38864,-93.5526,45.1979,38865,38865,t,13500 Rogers Drive,Rogers,MN,55374,(763)428-1620,45.1979,-93.5526,Taco Bell
38915,-93.4557,45.1043,38916,38916,t,13910 Grove Dr,Maple Grove,MN,55369,(763)494-9268,45.1043,-93.4557,Taco Bell
38958,-93.3796,44.7491,38959,38959,t,14040 S Hwy 13,Savage,MN,55378,(952)226-6210,44.7491,-93.3796,Taco Bell
39011,-94.245,46.3574,39012,39012,t,14175 Edgewood Dr,Baxter,MN,56425,(218)828-6377,46.3574,-94.245,Taco Bell
39022,-93.2787,44.746,39023,39023,t,14231 Nicollet Ave,Burnsville,MN,55337,(952)892-6670,44.746,-93.2787,Taco Bell
39066,-92.8119,45.0354,39067,39067,t,14529 60th Street North,Oak Park Heights,MN,55082,(651)430-3888,45.0354,-92.8119,Taco Bell
39069,-91.6751,44.0487,39070,39070,t,1455 Gilmore Ave,Winona,MN,55987,(507)452-1530,44.0487,-91.6751,Taco Bell
39095,-93.0253,44.9861,39096,39096,t,1484 White Bear Avenue,St. Paul,MN,55106,(651)778-8776,44.9861,-93.0253,Taco Bell
39120,-93.2325,45.168,39121,39121,t,1500 109th Ave Ne,Blaine,MN,55449,(763)354-1000,45.168,-93.2325,Taco Bell
39140,-94.4474,43.667,39141,39141,t,1501 South State St,Fairmont,MN,56031,(507)235-6676,43.667,-94.4474,Taco Bell
39172,-93.471,44.9214,39173,39173,t,15110 W Highway 7,Minnetonka,MN,55345,(952)933-3199,44.9214,-93.471,Taco Bell
39177,-93.2181,44.731,39178,39178,t,15150 Cedar Avenue,Apple Valley,MN,55124,(952)891-5500,44.731,-93.2181,Taco Bell
39226,-93.2273,45.0032,39227,39227,t,1540 Stinson Blvd Ne,Minneapolis,MN,55413,(612)379-8044,45.0032,-93.2273,Taco Bell
39363,-93.0806,44.8969,39364,39364,t,1630 S. Roberts Street,St. Paul,MN,55118,(651)451-7552,44.8969,-93.0806,Taco Bell
39404,-93.106,44.9899,39405,39405,t,1672 Rice St,St. Paul,MN,55117,(651)489-3891,44.9899,-93.106,Taco Bell
39418,-93.4935,45.0188,39419,39419,t,16855 County Road 24,Plymouth,MN,55447,(763)383-1103,45.0188,-93.4935,Taco Bell
39586,-93.2822,44.6933,39587,39587,t,17750 Kenwood Trail,Lakeville,MN,55044,(952)898-1213,44.6933,-93.2822,Taco Bell
39674,-93.9609,44.1667,39675,39675,t,1819 Madison Avenue,Mankato,MN,56001,(507)345-6159,44.1667,-93.9609,Taco Bell
39744,-93.1803,45.0114,39745,39745,t,1889 West Perimeter Road,Roseville,MN,55113,(651)636-3991,45.0114,-93.1803,Taco Bell
39761,-93.1603,44.8837,39762,39762,t,1901 Highway 13 W,Burnsville,MN,55337,(952)894-4160,44.8837,-93.1603,Taco Bell
39791,-93.5613,45.3079,39792,39792,t,19131 Freeport Avenue,Elk River,MN,55330,(763)241-1404,45.3079,-93.5613,Taco Bell
39818,-93.2452,44.9636,39819,39819,t,1931 Minnehaha,Minneapolis,MN,55404,(612)370-0024,44.9636,-93.2452,Taco Bell
39844,-93.0172,44.9498,39845,39845,t,1960 Suburban Avenue,St. Paul,MN,55119,(651)739-2118,44.9498,-93.0172,Taco Bell
39846,-93.0194,45.0358,39847,39847,t,1965 County Road D,Maplewood,MN,55109,(651)777-0205,45.0358,-93.0194,Taco Bell
39897,-93.204,44.7902,39898,39898,t,2000 Cliff Rd,Eagan,MN,55122,(651)688-6068,44.7902,-93.204,Taco Bell
40165,-92.4793,44.0049,40166,40166,t,215 Apache Mall,Rochester,MN,55902,(507)282-1650,44.0049,-92.4793,Taco Bell
40169,-93.2739,44.9483,40170,40170,t,215 East Lake Street,Minneapolis,MN,55408,(612)827-1203,44.9483,-93.2739,Taco Bell
40213,-93.005,45.0122,40214,40214,t,2199 Highway 36 East,St. Paul,MN,55109,(651)779-5986,45.0122,-93.005,Taco Bell
40237,-93.3075,44.8837,40238,40238,t,2208 W. 66th,Richfield,MN,55423,(612)869-5131,44.8837,-93.3075,Taco Bell
40249,-93.1945,45.0968,40250,40250,t,2219 Highway 10,St. Paul,MN,55112,(763)785-0676,45.0968,-93.1945,Taco Bell
40348,-93.0177,45.0372,40349,40349,t,2304 Maplewood Mall,Maplewood,MN,55109,(651)770-0978,45.0372,-93.0177,Taco Bell
40547,-93.2358,44.9483,40548,40548,t,2500 East Lake Street,Minneapolis,MN,55406,(612)721-5701,44.9483,-93.2358,Taco Bell
40605,-93.1721,44.9008,40606,40606,t,2545 W. Seventh St,St. Paul,MN,55116,(651)698-5701,44.9008,-93.1721,Taco Bell
